model,g,lam,mu,seed,warmup,horizon,L,Lq,utilization,W_mean,Wq_mean,Pwait_sim,Pwait_theory,n_samples,obs_time,arrivals_obs,lambda_hat,rho_theory,little_L_error,little_Lq_error,L_theory,Lq_theory,W_theory,Wq_theory
mmg,2,1.7,1.0,128,10000.0,200000.0,6.288180001815401,4.583673990824618,0.852253005495474,3.681800338845479,2.6834932364520845,0.7845673437052062,0.781081081081081,324403,190000.0,324438,1.7075684210526316,0.85,0.00019942345505691476,0.000311034806046321,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,129,10000.0,200000.0,6.191792887761652,4.490327979708955,0.8507324540264966,3.637387824605774,2.637857177669988,0.7828512064508948,0.781081081081081,323428,190000.0,323432,1.7022736842105264,0.85,5.924831982428619e-06,5.985430159779465e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,130,10000.0,200000.0,6.260227101335836,4.56144725184319,0.8493899247462354,3.679776679849984,2.6812363901318697,0.7787801444769286,0.781081081081081,323235,190000.0,323240,1.7012631578947368,0.85,6.612120053716323e-06,9.084023677383918e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,131,10000.0,200000.0,6.1731963021129905,4.470984571428362,0.8511058653423109,3.623267710301866,2.6241570510493024,0.7825141338935401,0.781081081081081,323690,190000.0,323700,1.7036842105263157,0.85,4.7352060028348344e-05,5.5835042679883766e-05,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,132,10000.0,200000.0,5.943054129203529,4.248790328690609,0.8471319002564889,3.508068153990724,2.507923752084927,0.7755635301610974,0.781081081081081,321855,190000.0,321868,1.6940421052631578,0.85,4.0209664130203245e-05,6.164010198672122e-05,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,133,10000.0,200000.0,6.134799274130844,4.433098686380402,0.8508502938752647,3.6144993155509795,2.611897088462866,0.7817543010952753,0.781081081081081,322476,190000.0,322483,1.697278947368421,0.85,2.3341320165118246e-06,4.3433638313750564e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,134,10000.0,200000.0,6.096397364736883,4.4007480625029745,0.8478246511169701,3.5919371924857075,2.592885149978936,0.7788851848980541,0.781081081081081,322475,190000.0,322478,1.6972526315789473,0.85,4.508839259556137e-06,7.517285760924756e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,135,10000.0,200000.0,6.0583958948154,4.359978057422041,0.849208918696736,3.560399652130415,2.5622767603898655,0.7793377131121174,0.781081081081081,323304,190000.0,323307,1.7016157894736843,0.85,6.003253494500875e-06,7.462207012333714e-06,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,136,10000.0,200000.0,5.953926874754997,4.260127130631005,0.8468998720619667,3.5116236450464458,2.512628567250824,0.7757976296167529,0.781081081081081,322142,190000.0,322146,1.6955052631578946,0.85,8.31344623526255e-06,1.122724796231226e-05,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
mmg,2,1.7,1.0,137,10000.0,200000.0,6.162953096522661,4.457480736644061,0.8527361799393037,3.6228236274867527,2.6202507568704707,0.7835422828925385,0.781081081081081,323204,190000.0,323214,1.7011263157894736,0.85,1.1761624651257346e-05,2.3156614804635658e-05,6.126126126126126,4.4261261261261255,3.603603603603603,2.603603603603603
